pair_id,level_id,competency_id,effective_behaviour,ineffective_behaviour
193,1,3,Ask questions when unsure what to do ,Fail to research or use relevant information or support to carry out tasks 
195,1,3,Undertake appropriate analysis to support decisions or recommendations ,Make decisions or recommendations without the evidence to back them up 
197,1,3,"Investigate and respond to gaps, errors and irregularities in information ",Overlook anomalies in evidence presented 
199,1,3,Speak up to clarify decisions and query these constructively ,Miss opportunities to take part in constructive conversations about decisions made 
201,1,3,Think through the implications of own decisions before confirming how to approach a problem/issue ,Give limited consideration to the impact of their decisions 
203,6,4,Actively develop and protect the reputation of the Department and the Civil Service – create a sense of pride ,Overlook opportunities to champion achievements of employees in the Department and the Civil Service 
205,6,4,"Shape, promote and exemplify desired Departmental and the Civil Service values and culture ",Act in ways which are at odds with desired culture and values – damages the Civil Service leadership reputation internally and externally 
207,6,4,"Be highly articulate and credible at the most senior levels across and outside the Civil Service, consistently delivering inspiring, engaging and meaningful messages about the future direction ","Lack confidence or impact at high levels, struggle with media spotlight, miss opportunities to communicate messages or give a confused or uninspiring narrative about what‟s important "
209,6,4,Engage positively in debate and seek to resolve issues with peers across the Civil Service ,"Operate independently, rarely asking for input from senior colleagues and communicating infrequently "
211,6,4,Demonstrate insight into the link between the moral and business case for equality and diversity and achieving organisational priorities ,Disregard the link between the moral and business case for diverse and sustainable outcomes 
213,6,4,"Negotiate with and influence external partners, stakeholders and customers successfully at the highest levels ",Lack insight into the different motivations and agendas of the variety of stakeholders 
215,5,4,"Lead from the front, communicating and motivating people towards stretching goals ","Unable to translate, articulate and inspire people around vision and goals "
217,5,4,Actively promote the Department‟s reputation externally and internally – publicise successes widely ,Avoid activities to build profile within or outside the Department 
219,5,4,"Inspire staff and delivery partners to engage fully with long term vision and purpose of the Department, supporting them to make sense of change ","Make limited effort to create clarity for others around strategy or purpose, leave staff to work through changes on their own "
221,5,4,Actively promote diversity and equality of opportunity inside and outside the Civil Service ,Disregard the need to consistently promote good diversity practice 
223,5,4,Communicate with conviction and clarity in the face of tough negotiations or challenges ,Back down readily in the face of challenge or tough negotiations 
225,5,4,"Influence external partners, stakeholders and customers successfully – secure mutually beneficial outcomes ",Lose focus under pressure and neglect the need to agree joint outcomes 
227,4,4,Be visible to staff and stakeholders and regularly undertake activities to engage and build trust with people involved in area of work ,Only speak to staff and stakeholders in a face-to-face environment when pressured to do so 
229,4,4,"Clarify strategies and plans, giving clear sense of direction and purpose for self and team ",Leave team unclear about vision and goals of their immediate business area 
231,4,4,"Stand by, promote or defend own and team‟s actions and decisions where needed ",Leave team members to cope alone in difficult situations – provide little support for their teams 
233,4,4,Confidently engage with stakeholders and colleagues at all levels to generate commitment to goals ,"Miss opportunities to transform the team, wait for others to take the lead "
235,4,4,"Lead by example, role modelling ethics, integrity, impartiality and the elimination of bias by building diverse teams and promoting a working environment that supports the Civil Service values and code ",Act in ways that are at odds with their expressed beliefs 
237,4,4,"Be open and inviting of the views of others and respond despite pressure to ignore, revert or concede ",Set out a course of action and apply it without listening to others or adapting where relevant 
239,3,4,"Take opportunities to regularly communicate and interact with staff, helping to clarify goals and activities and the links between these and Departmental strategy ","Be rarely available to staff and others, communicate infrequently "
241,3,4,"Recognise, respect and reward the contribution and achievements of others ",Take the credit for others‟ achievements 
243,3,4,"Communicate in a succinct, engaging manner and stand ground when needed ",Give in readily when challenged 
245,3,4,"Communicate using appropriate styles, methods and timing, including digital channels, to maximise understanding and impact ","Communicate in a set way with little variation, without tailoring messages, style and timing to the needs of the target audience "
247,3,4,Promote the work of the Department and play an active part in supporting the Civil Service values and culture ,"Be ignorant of and/or dismissive of broader organisational values and goals, such as equality and diversity "
249,3,4,Convey enthusiasm and energy about their work and encourage others to do the same ,Communicate information without consideration for the audience or with limited/low levels of enthusiasm and effort 
251,2,4,Display enthusiasm around goals and activities – adopting a positive approach when interacting with others ,Express limited interest in goals and activities 
253,2,4,"Listen to, understand, respect and accept the value of different views, ideas and ways of working ","Adopt a biased, exclusive or disrespectful manner in their dealings with others "
255,2,4,"Express ideas effectively, both orally and in writing, and with sensitivity and respect for others ",Demonstrate no awareness of the impact of their behaviour on others nor consider the potential reactions of others to the ideas put forward 
257,2,4,Confidently handle challenging conversations or interviews ,Unable to deal objectively with conflicts and disputes when they arise 
259,2,4,"Confront and deal promptly with inappropriate language or behaviours, including bullying, harassment or discrimination ",Avoid challenging inappropriate language or behaviours 
261,1,4,"Put forward their own views in a clear and constructive manner, choosing an appropriate communication method, e.g. email/ telephone/ face to face ","Talk negatively about the organisation, their team or colleagues "
263,1,4,Act in a fair and respectful way in dealing with others ,Show bias or a lack of respect and treat some groups more favourably than others 
265,1,4,"Write clearly in plain simple language and check work for spelling and grammar, learning from previous inaccuracies ",Make little effort to ensure they express themselves in an effective manner that others can easily understand 
267,1,4,Ask open questions to appreciate others‟ point of view ,Withhold work information and refuse to share knowledge that would help others do a better job 
269,6,5,"Build a strong network of collaborative relationships and partnerships across the Civil Service, at the highest levels in Government and beyond (UK, EU and globally) to help Departmental and wider Civil Service objectives ","Restrict collaboration to existing relationships, give limited attention to the importance of building networks "
271,6,5,Be a full partner on the Board and act for the wider good of the Civil Service ,Encourage own Department to focus on its pressures and agenda at the expense of wider collaboration 
273,6,5,Drive a diverse and collaborative working culture which encourages transparency and open communication ,"Create and allow cliques and narrow ways of working within and across functions, promoting a „knowledge is power‟ culture "
275,6,5,"Confront issues and challenge assumptions at the highest levels with delivery partners, stakeholders and clients in an assertive yet constructive way ","Not involve partners and stakeholders early on in the development of policies, services and delivery options "
277,6,5,Work effectively with Non Executive Directors to bring together political and official leadership to improve governance at board level ,Fail to utilise the experience and input offered by Non Executive Directors 
279,5,5,"Proactively create, maintain and promote a strong network of connections with colleagues across the Department, wider Civil Service and externally ",Focus on delivery at the expense of building networks and effective relationships across and beyond their area 
281,5,5,Actively promote knowledge and resource sharing with peers and across functions ,Consistently protect resources and interests of own area at the expense of Departmental priorities 
283,5,5,Encourage and establish principles of working effectively across boundaries to support the business ,Act selfishly to protect own area and resist involvement from external colleagues or experts 
285,5,5,Encourage teams to engage with a variety of delivery partners and stakeholders and listen to their feedback ,"Give teams limited support about how to work collaboratively with delivery partners, discourage early engagement "
287,5,5,"Build high performing teams within own area, aligned around common goals ",Struggle to address low morale or de-motivation within teams; create boundary or resource tensions between the teams 
289,5,5,"Set out clear expectations that bullying, harassment and discrimination are unacceptable ",Permit unacceptable or disrespectful behaviour to persist in own area and with other teams 
291,4,5,Actively build and maintain a network of colleagues and contacts to achieve progress on objectives and shared interests ,"Only seek to build contacts in immediate work group, neglect to create a wider network beyond this "
293,4,5,Demonstrate genuine care for staff and others – build strong interpersonal relationships ,Neglect to maintain relationships during difficult times 
295,4,5,Encourage contributions and involvement from a broad and diverse range of staff by being visible and accessible ,Operate within a narrow frame of reference and avoid adopting a fuller perspective with associated complexity 
297,4,5,Effectively manage team dynamics when working across Departmental and other boundaries ,Be overly protective of own initiatives and miss opportunities to network across boundaries 
299,4,5,Actively involve partners to deliver a business outcome through collaboration that achieves better results for citizens ,"Struggle to manage, or actively ignore other parties‟ agendas "
301,4,5,"Seek constructive outcomes in discussions, challenge assumptions but remain willing to compromise when it is beneficial to progress ",Push forward initiatives on basis of personal agenda or advantage and refuse to compromise; stay wedded to one outcome 
303,3,5,Establish relationships with a range of stakeholders to support delivery of business outcomes ,"Devote little or no time to networking or engaging with immediate stakeholders, preferring to work in isolation "
305,3,5,Invest time to generate a common focus and genuine team spirit ,Demonstrate limited capability to get the best from people and create barriers or negative feelings between and within teams 
307,3,5,Actively seek input from a diverse range of people ,Display little appreciation of the value of different contributions and perspectives 
309,3,5,"Readily share resources to support higher priority work, showing pragmatism and support for the shared goals of the organisation ",Create reasons why resources and support cannot be shared 
311,3,5,"Deal with conflict in a prompt, calm and constructive manner ",Show a lack of concern for others‟ perspectives 
313,3,5,Encourage collaborative team working within own team and across the Department ,Support individual or silo ways of working 
315,2,5,Demonstrate interest in others and develop a range of contacts outside own team to help get the job done ,Ignore the knowledge and expertise that a wider network of colleagues and partners can bring to the work of the team 
317,2,5,Change ways of working to facilitate collaboration for the benefit of the team‟s work ,Continue to work in set ways that make it difficult for colleagues to contribute to or benefit from the team‟s work 
319,2,5,"Proactively seek information, resources and support from others outside own immediate team in order to help achieve results ",Take a narrow approach to resolving resourcing issues in own area and fail to explore other resourcing opportunities and possibilities 
321,2,5,"Readily identify opportunities to share knowledge, information and learning and make progress by working with colleagues ","Rarely share information, or restrict it to immediate colleagues only "
323,2,5,Listen attentively to others and check their understanding by asking questions ,Show a lack of interest or skill in interacting with others 
325,2,5,"Take responsibility for creating a working environment that encourages equality, diversity and inclusion ","Adopt a biased, exclusive or disrespectful manner in their dealings with others "
327,1,5,Proactively contribute to the work of the whole team ,Focus on own objectives at the expense of supporting colleagues 
329,1,5,Get to know fellow team members/colleagues and understand their viewpoints and preferences ,Is overly critical and blaming of people who have different working styles or development needs 
331,1,5,Seek help when needed in order to complete own work effectively ,Miss opportunities to generate better outcomes for the customer through collaboration with others 
333,1,5,Be open to taking on different roles ,"Assume specific, unvarying role responsibilities "
335,1,5,Try to see issues from others‟ perspectives and check understanding ,Look at issues from own viewpoint only 
337,1,5,Listen to the views of others and show sensitivity towards others ,"Not treat all colleagues fairly, equitably or with respect "
339,6,6,"Champion the strategic importance of people, talent management and development issues, building a strong culture of continuous learning and knowledge sharing ",Allow organisational learning to be lost and fail to create a climate where colleagues can apply new learning relevant to the business 
341,6,6,"Operate with an acute awareness of inclusiveness, equality and diversity and build capability strategies to support careers for all employees ",Show little ability or commitment to enabling equal opportunities for people to realise their aspirations 
343,6,6,"Develop and maintain organisational commitment to problem solving, empowering people to experiment and achieve organisational results together ",Allow a sense that problem solving is only for a few individuals and only at certain times 
345,6,6,Be renowned as an effective coach and sounding board for senior people ,Invest little personal time to develop talent and future leaders 
347,6,6,Take a strategic perspective to identifying the capability needs of the Department and identifying and nurturing future leaders ,Adopt a short term perspective to people and talent management issues – struggle to assess long-term and evolving people requirements for the Department 
349,6,6,"Role model continuous learning and self development, evaluating own effectiveness and growth and planning next learning steps accordingly ",Be resistant to or dismissive of personal feedback and see personal growth as not relevant at their level 
351,5,6,"Champion development, talent and career management for all staff and make learning a reality by encouraging and providing a range of development experiences ","Allow delivery to dominate to the exclusion of learning and development activities, missing out on longer term business benefits and ignoring the organisational learning dimension "
353,5,6,"Create an inclusive environment, one from which all staff, including under-represented groups, can benefit ",Tolerate discriminatory thinking and practices when building capability in the organisation 
355,5,6,"Encourage work-place based learning, ensure colleagues take responsibility for their own learning and share it to build organisational capability ",Fail to ensure colleagues practise and share new learning of benefit to the business 
357,5,6,Devote dedicated time to supporting and empowering people through coaching and mentoring and sharing expertise/knowledge ,Focus resources on technical knowledge/ skills gaps at the expense of leadership skills or development of future talent 
359,5,6,Identify capability requirements to deliver Departmental 3-5 year strategy and grow sustainable capability across all groups including those identified as having high potential ,Allow ineffective performance management which fails to narrow capability gaps for the organisation or grow available talent 
361,5,6,"Role model continuous learning and self development, evaluating own effectiveness and growth and planning next learning steps accordingly ",Seldom seek feedback and fail to seize opportunities for personal development 
363,4,6,Ensure that individual and organisational learning and talent development opportunities are fully exploited in order to enhance organisational capability ,Ignore emerging learning and development opportunities and the sharing of that learning to benefit the organisation 
365,4,6,"Role model work-place based learning and encourage development, talent and career management for all staff ",Not follow up on learning to ensure colleagues practise and apply new learning to the benefit of the organisation 
367,4,6,"Coach and support colleagues to take responsibility for their own development (through giving accountability, varied assignments and on-going feedback) ","Make token efforts to coach and develop people, allow staff to de-prioritise own development "
369,4,6,Establish and drive intra and inter team discussions to learn from experience and adapt organisational processes and plans ,Stay ignorant of the experience of colleagues and take little notice of the potential learning available
373,4,6,Identify capability requirements needed to deliver future team objectives and manage team resources to meet these needs ,Allow team capability needs to go unaddressed and fail to use development opportunities and effective performance management to maximise team capability 
375,4,6,"Prioritise and role model continuous self learning and development, including leadership, management and people skills ","Place low priority on people management and development, seldom seek feedback or challenge, and prioritise professional expertise over leadership, management and people skills "
377,3,6,Identify and address team or individual capability requirements and gaps to deliver current and future work ,"Manage others in a weak or ineffective manner, allowing capability gaps to persist "
379,3,6,"Identify and develop all talented team members to support succession planning, devoting time to coach, mentor and develop others ","Choose to only develop team members who reflect own capabilities, styles and strengths "
381,3,6,Value and respond to different personal needs in the team using these to develop others and promote inclusiveness ,Be insensitive to and unaware of the diverse aspirations and capability of all members of the team 
383,3,6,"Proactively manage own career and identify own learning needs with line manager, plan and carry out work-place learning opportunities ",Passively expect others to identify and manage their learning needs 
385,3,6,Continually seek and act on feedback to evaluate and improve their own and team‟s performance ,Make no attempt to learn from or apply lessons of feedback 
387,2,6,Take ownership of team and individual development by identifying capability needs and consistently achieving development objectives ,Fail to address own capability needs or identify learning opportunities 
389,2,6,Take responsibility for the quality of own work and seeking opportunities for improvement through continuous learning ,Resist opportunities to broaden work responsibilities 
391,2,6,Proactively support the development plans of others ,Resist learning and development requests from others 
393,2,6,Take account of the diverse contributions of team members and delegate work to improve capabilities of all ,"Tend to keep work to themselves that could be a helpful development opportunity for a team member, failing to ensure equality of opportunity "
395,2,6,Encourage and be open to developmental feedback from others ,Be disinterested in giving or receiving constructive feedback 
397,1,6,"Identify own skills, knowledge and behaviour gaps to inform own development plan and discuss these with the line manager ","Take a passive approach to personal development, mostly relying on others to identify learning points or dismissing constructive feedback "
399,1,6,Recognise and take time to achieve own learning and development objectives ,"Lack interest in personal development, decline all opportunities to learn e.g. through attending programmes or engaging in work-place learning "
401,1,6,Find ways to learn and personally improve in the completion of day-to-day tasks ,"Maintain a rigid view of daily tasks, missing opportunities to learn or to improve how they do things "
403,1,6,Improve own performance by taking on board feedback from colleagues from different backgrounds ,Ignore or undervalue the contributions and views of others from different backgrounds 
405,1,6,Share learning with team and colleagues; contribute to the team‟s shared learning and understanding ,Keep knowledge and expertise to themselves rather than share for the benefit of the whole team 
407,1,6,React constructively to developmental feedback and make changes as a result ,"Do little to follow through on constructive developmental feedback, ignore or dismiss its value "
409,6,7,"Role model strong leadership, influence and accountability for the achievement of commercial outcomes relevant to organisational goals ",Show little evidence of leadership and accountability for delivering commercial outcomes 
411,6,7,Draw on insights about the current and future dynamics in the economy to seize opportunities to stimulate economic growth ,Pay little regard to social needs or protecting and enhancing the resources required to sustain economic growth 
413,6,7,"Seek out and facilitate the introduction of innovative business models, systems and approaches to deliver greater commerciality and sustainability ","Allow ineffective business models or systems to continue, leading to a clear waste of money or resource "
415,6,7,Commission strategic commercial relationships with delivery partners using strong influencing skills ,Pay little attention to the delivery of outcomes and benefits from strategic commercial relationships 
417,6,7,Ensure that all staff have appropriate levels of commercial awareness while creating and embedding an organisational culture that supports this ,Do little to ensure that staff are equipped to consider commercial issues in shaping and developing policy and/or operational services 
